LOGGERNAME,TIMESTAMP,JOB_ID,CLASS_ID,INTERARRIVAL_SAMECLASS,INTERARRIVAL_ANYCLASS,SIMUL_START_TIME
LOG_M1,0.9,1,Class2,0.9,0.9,
LOG_Sink,1,1,Class2,1,1,
LOG_M1,1.8,2,Class2,0.9,0.9,
LOG_Sink,1.9000000000000001,2,Class2,0.9000000000000001,0.9000000000000001,
LOG_M1,2.7,3,Class2,0.9000000000000001,0.9000000000000001,
LOG_Sink,2.8000000000000003,3,Class2,0.9000000000000001,0.9000000000000001,
LOG_M1,3.6,4,Class2,0.8999999999999999,0.8999999999999999,
LOG_Sink,3.7,4,Class2,0.8999999999999999,0.8999999999999999,
LOG_M1,4.224527128414976,0,Class1,4.224527128414976,0.6245271284149756,
LOG_M1,4.5,5,Class2,0.8999999999999999,0.2754728715850243,
LOG_M1,4.512072010197183,6,Class1,0.2875448817822077,0.012072010197183403,
LOG_Sink,4.6,5,Class2,0.8999999999999995,0.8999999999999995,
LOG_M1,4.92368436019874,8,Class1,0.4116123500015565,0.4116123500015565,
LOG_Sink,5.267278881317194,6,Class1,5.267278881317194,0.6672788813171939,
LOG_M1,5.4,7,Class2,0.9000000000000004,0.47631563980126046,
LOG_Sink,5.5,7,Class2,0.9000000000000004,0.23272111868280643,
LOG_M1,6.300000000000001,10,Class2,0.9000000000000004,0.9000000000000004,
LOG_Sink,6.4,10,Class2,0.9000000000000004,0.9000000000000004,
LOG_M1,7.200000000000001,11,Class2,0.9000000000000004,0.9000000000000004,
LOG_Sink,7.300000000000001,11,Class2,0.9000000000000004,0.9000000000000004,
LOG_M1,7.869858113395495,9,Class1,2.9461737531967547,0.6698581133954935,
LOG_M1,7.968904142155218,13,Class1,0.09904602875972301,0.09904602875972301,
LOG_M1,8.056442954479387,14,Class1,0.08753881232416916,0.08753881232416916,
LOG_M1,8.100000000000001,12,Class2,0.9000000000000004,0.04355704552061468,
LOG_Sink,8.200000000000001,12,Class2,0.9000000000000004,0.9000000000000004,
LOG_M1,9.000000000000002,16,Class2,0.9000000000000004,0.9000000000000004,
LOG_Sink,9.100000000000001,16,Class2,0.9000000000000004,0.9000000000000004,
LOG_M1,9.900000000000002,17,Class2,0.9000000000000004,0.9000000000000004,
LOG_M1,9.905897232344216,15,Class1,1.8494542778648295,0.005897232344214132,
LOG_M1,9.930516141435616,19,Class1,0.024618909091399743,0.024618909091399743,
LOG_Sink,10.000000000000002,17,Class2,0.9000000000000004,0.9000000000000004,
LOG_Sink,10.476278851945908,14,Class1,5.208999970628715,0.47627885194590647,
LOG_M1,10.800000000000002,18,Class2,0.9000000000000004,0.8694838585643865,
LOG_Sink,10.900000000000002,18,Class2,0.9000000000000004,0.4237211480540939,
LOG_Sink,11.662937377985621,9,Class1,1.1866585260397127,0.7629373779856188,
LOG_M1,11.700000000000003,21,Class2,0.9000000000000004,0.9000000000000004,
LOG_Sink,11.800000000000002,21,Class2,0.9000000000000004,0.13706262201438157,
LOG_Sink,12.084000207589696,8,Class1,0.42106282960407526,0.2840002075896937,
LOG_M1,12.600000000000003,22,Class2,0.9000000000000004,0.9000000000000004,
LOG_Sink,12.700000000000003,22,Class2,0.9000000000000004,0.6159997924103067,
LOG_M1,13.500000000000004,23,Class2,0.9000000000000004,0.9000000000000004,
LOG_Sink,13.600000000000003,23,Class2,0.9000000000000004,0.9000000000000004,
LOG_M1,14.400000000000004,24,Class2,0.9000000000000004,0.9000000000000004,
LOG_Sink,14.500000000000004,24,Class2,0.9000000000000004,0.9000000000000004,
LOG_M1,15.300000000000004,25,Class2,0.9000000000000004,0.9000000000000004,
LOG_Sink,15.400000000000004,25,Class2,0.9000000000000004,0.9000000000000004,
LOG_M1,16.200000000000003,26,Class2,0.8999999999999986,0.8999999999999986,
LOG_Sink,16.300000000000004,26,Class2,0.9000000000000004,0.9000000000000004,
LOG_M1,17.1,27,Class2,0.8999999999999986,0.8999999999999986,
LOG_Sink,17.200000000000003,27,Class2,0.8999999999999986,0.8999999999999986,
LOG_Sink,17.52875725326473,15,Class1,5.444757045675033,0.32875725326472605,
LOG_M1,18,28,Class2,0.8999999999999986,0.8999999999999986,
LOG_Sink,18.1,28,Class2,0.8999999999999986,0.5712427467352725,
LOG_M1,18.199516880067097,20,Class1,8.269000738631481,0.19951688006709745,
LOG_M1,18.718819028918432,30,Class1,0.5193021488513345,0.5193021488513345,
LOG_M1,18.9,29,Class2,0.8999999999999986,0.1811809710815666,
LOG_Sink,19,29,Class2,0.8999999999999986,0.8999999999999986,
LOG_M1,19.799999999999997,32,Class2,0.8999999999999986,0.8999999999999986,
LOG_Sink,19.9,32,Class2,0.8999999999999986,0.8999999999999986,
LOG_M1,20.699999999999996,33,Class2,0.8999999999999986,0.8999999999999986,
LOG_Sink,20.799999999999997,33,Class2,0.8999999999999986,0.8999999999999986,
LOG_M1,21.479440081077836,31,Class1,2.7606210521594043,0.7794400810778406,
LOG_Sink,21.55969681115582,30,Class1,4.030939557891092,0.7596968111558233,
LOG_M1,21.599999999999994,34,Class2,0.8999999999999986,0.120559918922158,
LOG_Sink,21.699999999999996,34,Class2,0.8999999999999986,0.14030318884417525,
LOG_Sink,21.87710609531235,19,Class1,0.317409284156529,0.17710609531235377,
LOG_M1,22.499999999999993,36,Class2,0.8999999999999986,0.8999999999999986,
LOG_Sink,22.59154427992011,20,Class1,0.7144381846077614,0.7144381846077614,
LOG_Sink,22.599999999999994,36,Class2,0.8999999999999986,0.008455720079883378,
LOG_M1,23.07390042509465,35,Class1,1.594460344016813,0.5739004250946564,
LOG_M1,23.39999999999999,37,Class2,0.8999999999999986,0.32609957490534214,
LOG_Sink,23.499999999999993,37,Class2,0.8999999999999986,0.8999999999999986,
LOG_M1,24.29999999999999,39,Class2,0.8999999999999986,0.8999999999999986,
LOG_Sink,24.39999999999999,39,Class2,0.8999999999999986,0.8999999999999986,
